Material,Application,TML_Pct,WVR_Pct,CVCM_Pct,RML_Pct,Year,SpaceX_Classification,Data_Ref,Manufacturer,Time_1,Temp_1,ATM_1,Time_2,Temp_2,ATM_2,Time_3,Temp_3,ATM_3,Time_4,Temp_4,ATM_4,Raw_Application
"BERGQUIST Gap Pad TGP HC5000, GPHC5.0-0.020-02-0816, Violet Thermal Pad",Rubber and Elastomers,0.04,0,0.01,0.04,2019,Pass,GFC36528,ORI,24H,125.0,1.3x10ø?,,,,,,,,,,RUBBER AND ELASTOMERS
BETA CLOTH 385-3 BLACK CONDUCTIVE PTFE/GLASS FABRIC,Thermal Control,0.04,0,0.00,0.04,1990,Pass,GSFC18613,OMG,,,,,,,,,,,,,THERMAL CONTROL
BETA MARQUISETTE WOVEN FIBERGLASS STYLE 2530,Insulation,0.03,0,0.00,0.03,1975,Pass,GSFC07094,STE,,,,,,,,,,,,,INSULATION
BETACOTE 91-18 A/B AS 3/1 BV,Conformal Coat,8.00,,0.95,8.00,1967,Rationale Code B (up to 0.25 sq-in),GSFC00020,ESX,45M,25.0,AIR,40M,71.0,AIR,,,,,,,CONF COAT
BETACOTE 91-18 A/B AS 3/1 BW,Conformal Coat,7.10,,0.00,7.10,1967,Rationale Code B (up to 0.25 sq-in),GSFC00030,ESX,16H,25.0,AIR,45M,71.0,AIR,,,,,,,CONF COAT
BF 1006 STYRENE ACRYLANITRILE,Mold Compound,0.24,,0.01,0.24,1969,Pass,GSFC00933,LNP,,,,,,,,,,,,,MOLD CPND
BICOR 45BL POLYPROPYLENE FILM,Film,0.25,0,0.09,0.25,1992,Pass,GSFC20567,MCF,,,,,,,,,,,,,FILM
"BIPAX TRA-BOND, BAF253 HIGH POT LIFE 15 MIN EPOXY",Fiber Optic Epoxy,0.66,0,,0.66,2001,Fail,GSFC27625,NCM,,,,,,,,,,,,,FIBER OPTIC EPOXY
"BIPAX TRA-BOND, BAF253 HIGH POT LIFE 15 MIN EPOXY",Fiber Optic Epoxy,0.62,0,,0.62,2001,Fail,GSFC27628,NCM,,,,,,,,,,,,,FIBER OPTIC EPOXY
"BISCOE HT 800 BLACK, MEDIUM SILICONE FOAM",Foam,1.04,0,0.26,1.04,2013,Rationale Code B (up to 0.25 sq-in),GSFC33988,ROG,,,,,,,,,,,,,FOAM
"BISCOE HT 820 GRAY, FIRM SILICONE FOAM",Foam,2.19,0,0.82,2.19,2013,Rationale Code B (up to 0.25 sq-in),GSFC33991,ROG,,,,,,,,,,,,,FOAM
BISCOTE HT-101 SILICONE COATED GLASS FABRIC,Insulation,0.46,0,0.17,0.46,1986,Rationale Code B (up to 0.25 sq-in),GSFC15241,BPI,,,,,,,,,,,,,INSULATION
BISCOTE HT-105 SILICONE COATED FIBERGLASS,Insulation,0.44,0,0.10,0.44,1986,Pass,GSFC15243,BPI,,,,,,,,,,,,,INSULATION
BISCOTE HT-610 METHYL VINYL SILICONE,Insulation,1.20,0,0.44,1.20,1986,Rationale Code B (up to 0.25 sq-in),GSFC15245,BPI,,,,,,,,,,,,,INSULATION
BIW 5639-L-G22 UNSHIELDED CABLE WHITE SILICONE INSUL,Cable Insul,0.74,0,0.24,0.74,1975,Rationale Code B (up to 0.25 sq-in),GSFC06581,BIW,,,,,,,,,,,,,CABLE INSUL
BIW 5639-L-G22 UNSHIELDED CABLE WHITE SILICONE INSUL,Cable Insul,0.11,0,0.02,0.11,1975,Pass,GSFC06584,BIW,24H,204.0,AIR,,,,,,,,,,CABLE INSUL
BIW P/E 5636-L-G20 WHITE SILICONE WIRE INSULATION,Wire Insul,1.28,,0.29,1.28,1972,Rationale Code B (up to 0.25 sq-in),GSFC04528,BIW,,,,,,,,,,,,,WIRE INSUL
BIW P/E 5636-L-G20 WHITE SILICONE WIRE INSULATION,Wire Insul,0.03,,0.02,0.03,1972,Pass,GSFC04530,BIW,24H,204.0,AIR,,,,,,,,,,WIRE INSUL
BIW P/N F5639-L-G22 BLACK PART,Cable Insul,0.77,,0.22,0.77,1968,Rationale Code B (up to 0.25 sq-in),GSFC00640,BIW,,,,,,,,,,,,,CABLE INSUL
BIW P/N F5639-L-G22 BLACK PART,Cable Insul,0.05,,0.03,0.05,1968,Pass,GSFC00695,BIW,24H,232.0,AIR,,,,,,,,,,CABLE INSUL
BIW P/N F5639-L-G22 ENTIRE CABLE,Cable,0.51,,0.16,0.51,1968,Rationale Code B (up to 0.25 sq-in),GSFC00628,BIW,,,,,,,,,,,,,CABLE
BIW P/N F5639-L-G22 ENTIRE CABLE,Cable,0.03,,0.00,0.03,1968,Pass,GSFC00704,BIW,24H,232.0,AIR,,,,,,,,,,CABLE
BIW P/N F5639-L-G22 INNER CABLE INSUL,Cable Insul,0.42,,0.12,0.42,1968,Rationale Code B (up to 0.25 sq-in),GSFC00637,BIW,,,,,,,,,,,,,CABLE INSUL
BIW P/N F5639-L-G22 OUTER JACKET,Cable Insul,0.56,,0.19,0.56,1968,Rationale Code B (up to 0.25 sq-in),GSFC00631,BIW,,,,,,,,,,,,,CABLE INSUL
BIW P/N F5639-L-G22 OUTER JACKET,Cable Insul,0.04,,0.01,0.04,1968,Pass,GSFC00692,BIW,24H,232.0,AIR,,,,,,,,,,CABLE INSUL
BIW P/N F5639-L-G22 WHITE MIDDLE CORE,Cable Insul,0.04,,0.00,0.04,1968,Pass,GSFC00698,BIW,24H,232.0,AIR,,,,,,,,,,CABLE INSUL
BIWAX 125 A/B AS 1/1 BV GREEN EPOXY,Adhesive,0.98,0,0.06,0.98,1997,Pass,GSFC24476,BBC,,,,,,,,,,,,,ADHESIVE
"BLACK 95A PUR FRE-STAT, PART # 1A-451-01",Tubiing,1.08,0,0.12,1.08,2005,Rationale Code B (up to 0.25 sq-in),GSFC29563,FRW,,,,,,,,,,,,,TUBIING
BLACK ACETATE CLOTH,Insulation Wrap,4.21,2,0.12,2.21,2013,Rationale Code B (up to 0.25 sq-in),GSFC34081,MMM,,,,,,,,,,,,,INSULATION WRAP
BLACK DELRIN LOT # S-86585-Z,Molding Compound,0.50,0,0.02,0.50,2004,Pass,GSFC28744,DUP,,,,,,,,,,,,,MOLDING COMPOUND
BLACK DELRIN LOT # S-86585-Z,Molding Compound,0.29,0,0.00,0.29,2004,Pass,GSFC28783,DUP,24H,125.0,E-5,,,,,,,,,,MOLDING COMPOUND
BLACK EPOXY 12248/1481 A/B 11/8.5,Potting Compound,0.49,0,0.00,0.49,2012,Pass,GSFC33625,DGE,,,,,,,,,,,,,POTTING COMPOUND
Black Fiber optic jacketing. Part number unknown Description Ð fiber optic jacketing.,Cable Insulation and Shrink Tubing,0.32,0,0.00,0.32,2022,Pass,GFC37096,,24H,124.0,3.2x10ø?,,,,,,,,,,CABLE INSULATION AND SHRINK TUBING
BLACK GLASS-12 NO PROCESS TEMP,Structural,0.34,0,0.00,0.34,1993,Pass,GSFC21345,AFP,1H,150.0,AIR,,,,,,,,,,STRUCTURAL
BLACK GLASS-5 PROCESS TEMP 235C,Structural,0.06,0,0.00,0.06,1993,Pass,GSFC21347,AFP,1H,150.0,AIR,,,,,,,,,,STRUCTURAL
BLACK GLASS-6 PROCESS TEMP 440C,Structural,0.04,0,0.00,0.04,1993,Pass,GSFC21351,AFP,1H,150.0,AIR,,,,,,,,,,STRUCTURAL
BLACK GLASS-7 PROCESS TEMP 1000C,Structural,0.00,0,0.00,0.00,1993,Pass,GSFC21353,AFP,1H,150.0,AIR,,,,,,,,,,STRUCTURAL
BLACK GLASS-8 PROCESS TEMP 335C,Structural,0.02,0,0.00,0.02,1993,Pass,GSFC21349,AFP,1H,150.0,AIR,,,,,,,,,,STRUCTURAL
BLACK INK NAZDAR ADE52 A/B 5/1 PBW,Marking Ink,17.44,0,0.00,17.44,2011,Rationale Code B (up to 0.25 sq-in),GSFC32932,FEQ,30M,85.0,AIR,,,,,,,,,,MARKING INK
BLACK KAPTON FILM,Film,1.15,0,0.00,1.15,2012,Rationale Code A (up to 2 sq-in),GSFC33622,MTK,,,,,,,,,,,,,FILM
BLACK KAPTON TAPE DM 151 LOT 080214067-1,Tape,0.95,0,0.00,0.95,2010,Pass,GSFC32314,DUN,,,,,,,,,,,,,TAPE
"BLACK KAPTON TAPE, DM 106",Tape,1.45,1,0.00,0.45,2012,Pass,GSFC33619,DUN,,,,,,,,,,,,,TAPE
BLACK MAGIC MOLY SPRAY/FOIL - AEROSOL MOS2,Lubricant,0.32,0,0.01,0.32,1987,Pass,GSFC16490,SPR,,,,,,,,,,,,,LUBRICANT
BLACK MAGIC MOLY SPRAY/FOIL - AEROSOL MOS2,Lubricant,0.27,0,0.02,0.27,1976,Pass,GSFC07472,SPR,24H,25.0,AIR,,,,,,,,,,LUBRICANT
BLACK NORYL MIDI-AVIM CONNECTOR DUST CAPS; PN: 1079068,Miscellaneous,0.21,0,0.03,0.21,2018,Pass,GSFC36330,DMD,24H,140.0,1.00E-02,,,,,,,,,,MISCELLANEOUS
"BLACK NYLON 6/6 CABLE CLAMPS, PN N-2-BK-100PK",Cable Clamp,2.31,0,0.02,2.31,2011,Rationale Code A (up to 2 sq-in),GSFC33049,RCO,,,,,,,,,,,,,CABLE CLAMP
"BLACK NYLON 6/6 CABLE CLAMPS, PN N-2-BK-100PK - RETEST",Cable Clamp,1.45,0,0.00,1.45,2012,Rationale Code A (up to 2 sq-in),GSFC33076,RCO,24H,125.0,E-5,,,,,,,,,,CABLE CLAMP
BLACK PAINT B-1 SEIDENBERG,Paint,9.12,,0.15,9.12,1968,Rationale Code B (up to 0.25 sq-in),GSFC00725,GSC,,,,,,,,,,,,,PAINT
BLACK PAINT B-2 SEIDENBERG,Paint,5.45,,1.06,5.45,1968,Rationale Code B (up to 0.25 sq-in),GSFC00773,GSC,,,,,,,,,,,,,PAINT
BLACK PAINT/F,Paint,5.63,1,0.13,4.63,1978,Rationale Code B (up to 0.25 sq-in),GSFC08915,ZZZ,30M,60.0,AIR,,,,,,,,,,PAINT
BLACK PAINT/SEIDENBERG/SOLITHANE 113 BASE,Paint,4.35,,0.50,4.35,1969,Rationale Code B (up to 0.25 sq-in),GSFC01216,TCC,7D,25.0,AIR,,,,,,,,,,PAINT
BLACK PLASTIC HIANDLE (USED IN PN47065T54),Handle,2.24,0,0.02,2.24,2014,Rationale Code A (up to 2 sq-in),GSFC35343,MCM,,,,,,,,,,,,,HANDLE
BLACK PLASTIC HINGE (USED IN PN47065T163),Hinge,0.38,0,0.00,0.38,2014,Pass,GSFC35340,MCM,,,,,,,,,,,,,HINGE
"Black RAL 9005 PPO Mini/Midi-AVIM connector dust cap, Date Code: 27/20 PN:1079068",Miscellaneous,0.25,0,0.02,0.25,2022,Pass,GFC37093,DMD,24H,125.0,3.2x10ø?,,,,,,,,,,MISCELLANEOUS
BLACK TEFLON TUBE,Tubing,0.01,0,0.00,0.01,2002,Pass,GSFC28099,ZZZ,,,,,,,,,,,,,TUBING
BLACK VITON GASKET MATERIAL,Vacuum Gasket,0.21,0,0.00,0.21,2003,Pass,GSFC28399,ASG,,,,,,,,,,,,,VACUUM GASKET
BLACKKAPTON/KEVLAR/KAPTON LAMINATE,Laminate,2.49,1,0.10,1.49,2016,Rationale Code A (up to 2 sq-in),GSFC35721,DUN,,,,,,,,,,,,,LAMINATE
BlackWrap; GAM P/N BW2700. Aluminum Foil with unknown Black Coating,Films and Sheet Materials,0.08,0,0.02,0.08,2020,Pass,GFC36807,,24H,125.0,9.8x10ø?,,,,,,,,,,FILMS AND SHEET MATERIALS
BLANKET ALUMINIZED FEP/MYLAR/NYLON NET,Insul Blanket,0.44,0,0.00,0.44,1975,Pass,GSFC06812,ZZZ,,,,,,,,,,,,,INSUL BLANKET
BLANKET ALUMINIZED KAPTON/GLASS SCRIM/MYLAR/NYLONNET,Insul Blanket,1.60,1,0.04,0.60,1975,Pass,GSFC06814,ZZZ,,,,,,,,,,,,,INSUL BLANKET
BLANKET LABLE TEST #1 FEP VDAG1/SHARPIE/KAPTON TAPE,Blanket,0.98,0,0.01,0.98,2009,Pass,GSFC31531,ZZZ,72H,40.0,E-2,,,,,,,,,,BLANKET
BLANKET LABLE TEST #2 FEP VDAG1/SHARPIE/KAPTON TAPE,Blanket,0.97,0,0.01,0.97,2009,Pass,GSFC31534,ZZZ,72H,80.0,E-2,,,,,,,,,,BLANKET
BLANKET-THERMAL EDGE PORTION W/TAPE,Insul Blanket,1.04,0,0.36,1.04,1975,Rationale Code B (up to 0.25 sq-in),GSFC07016,ZZZ,,,,,,,,,,,,,INSUL BLANKET
BLUE CIRCULAR CONNECTOR UNKNOWN ORIGIN,Connector,0.47,0,,0.47,2001,Fail,GSFC27541,UNK,,,,,,,,,,,,,CONNECTOR
BLUE COATING II 001057REVA FLEXIBLE MOD EPOXY,Coating,0.41,0,0.04,0.41,1977,Pass,GSFC08495,NCI,1H,125.0,AIR,3H,200.0,AIR,,,,,,,COATING
BLUE INSULATION FROM TF/TW-30-TT THERMOCOUPLE WIRE,Thermal Insulation Cloth,0.07,0,0.00,0.07,2012,Pass,GSFC33610,XXX,,,,,,,,,,,,,THERMAL INSULATION CLOTH
BLUE SOLITHANE (SEE REPORT FOR MIX),Epoxy,0.40,0,0.01,0.40,2012,Pass,GSFC33484,LOK,2D,25.0,AIR,,,,,,,,,,EPOXY
BLUE TPU; THERMOPLASTIC POLYURETHANE,Miscellaneous,0.75,0,0.11,0.75,2018,Rationale Code B (up to 0.25 sq-in),GSFC36267,AWF,,,,,,,,,,,,,MISCELLANEOUS
BLUE WIRE INSULATION,Wire Insulation,6.72,0,3.98,6.72,2007,Rationale Code B (up to 0.25 sq-in),GSFC30382,SAM,,,,,,,,,,,,,WIRE INSULATION
BMS 5-29 EPON 828/812/VERSAMID 115/125 EPOXY,Adhesive,1.63,0,0.02,1.63,1976,Rationale Code A (up to 2 sq-in),GSFC07865,BOA,4.5H,25.0,AIR,4H,65.0,AIR,,,,,,,ADHESIVE
BMS 5-29 EPON 828/812/VERSAMID 115/125 EPOXY,Adhesive,1.93,0,0.03,1.93,1976,Rationale Code A (up to 2 sq-in),GSFC07931,BOA,4.5H,25.0,AIR,,,,,,,,,,ADHESIVE
BMS 5-29 EPON 828/812/VERSAMID 115/125 EPOXY,Adhesive,0.92,0,0.03,0.92,1976,Pass,GSFC07934,BOA,3H,25.0,AIR,,,,,,,,,,ADHESIVE
BOAT 1-3,,1.66,0,0.00,1.66,2019,Rationale Code A (up to 2 sq-in),GSFC36552,ZZZ,,,,,,,,,,,,,
BOAT 4-6,,0.38,0,0.00,0.38,2019,Pass,GSFC36555,ZZZ,,,,,,,,,,,,,
BOAT 7-9,,0.18,0,0.00,0.18,2019,Pass,GSFC36558,ZZZ,,,,,,,,,,,,,
"BOBBIN CORE, P/N 80656-5D-0025-02",Core,0.21,0,0.00,0.21,2012,Pass,GSFC33211,MED,,,,,,,,,,,,,CORE
"BOBBIN MATERIAL, PM 9630 SUMIMOTO",Bobbin Material,1.79,0,0.00,1.79,2008,Rationale Code A (up to 2 sq-in),GSFC30796,DTT,,,,,,,,,,,,,BOBBIN MATERIAL
"BOE-0726, LOT 71373",Adhesive,0.43,0,0.07,0.43,2015,Pass,GSFC35550,XXX,7D,25.0,AIR,,,,,,,,,,ADHESIVE
"BOE-0726, LOT 71497",Adhesive,0.55,0,0.10,0.55,2015,Pass,GSFC35553,XXX,7D,25.0,AIR,,,,,,,,,,ADHESIVE
"BOE-0726, LOT 71942",Adhesive,0.55,0,0.10,0.55,2015,Pass,GSFC35556,XXX,7D,25.0,AIR,,,,,,,,,,ADHESIVE
Boelube 70307 Multi-Use Blue Lubricant Paste,Greases and Lubricants,99.95,0,30.43,99.95,2021,Rationale Code B (up to 0.25 sq-in),GFC36873,,24H,125.0,2.3x10ø?,,,,,,,,,,GREASES & LUBRICANTS
BOLTARON PVC ANTI STATIC FILM,Antistatic Film,4.84,0,0.97,4.84,1985,Rationale Code B (up to 0.25 sq-in),GSFC14788,GTR,,,,,,,,,,,,,ANTI STATIC FILM
"BOND-PLY 100, THERMALLY CONDUCTIVE TRANSFER ADHESIVE/F",Thermally-Conductive Tape,0.41,0,0.01,0.41,2008,Pass,GSFC30853,BER,,,,,,,,,,,,,THERMALLY CONDUCTIVE TAPE
BONDiT B-45TH; Adhesive,Adhesives,6.17,0,0.19,6.17,2020,Rationale Code B (up to 0.25 sq-in),GFC36756,REL,24H,125.0,1.3x10ø?,24H,25.0,AIR,3H,100.0,AIR,,,,ADHESIVES
BONDiT B-4811; Adhesive,Adhesives,4.33,0,0.05,4.33,2020,Rationale Code B (up to 0.25 sq-in),GFC36753,REL,24H,125.0,1.3x10ø?,24H,25.0,AIR,3H,100.0,AIR,,,,ADHESIVES
BONDLINE 6460,Epoxy,1.63,0,0.00,1.63,2010,Rationale Code A (up to 2 sq-in),GSFC31939,BOE,24H,30.0,AIR,,,,,,,,,,EPOXY
BONDLINE 6460,Adhesive,1.33,0,0.00,1.33,2010,Rationale Code A (up to 2 sq-in),GSFC31999,BOE,24H,30.0,AIR,7H,80.0,AIR,,,,,,,ADHESIVE
BONDLINE 6571 EPOXY ADHESIVE,Encapsulant,0.76,0,0.03,0.76,2012,Pass,GSFC33400,BOE,2H,80.0,AIR,,,,,,,,,,ENCAPSULANT
BONDMASTER 4500 PLUS A/B AS 1/1 BV FAST CURE EPOXY,Adhesive,2.72,1,0.13,1.72,1982,Rationale Code B (up to 0.25 sq-in),GSFC12502,NSC,,,,,,,,,,,,,ADHESIVE
BONDMASTER 4500 PLUS A/B AS 1/1 BV FAST CURE EPOXY,Adhesive,2.71,0,0.46,2.71,1982,Rationale Code B (up to 0.25 sq-in),GSFC12592,NSC,6H,93.0,E-3,,,,,,,,,,ADHESIVE
BONDMASTER 620,Adhesive,0.74,,0.02,0.74,1972,Pass,GSFC03936,NSC,2H,80.0,AIR,1H,150.0,AIR,2H,200.0,AIR,,,,ADHESIVE
BONDMASTER E-645 A/B AS 10/3 BW EPOXY,Adhesive,1.68,0,0.04,1.68,1998,Rationale Code A (up to 2 sq-in),GSFC25678,NSC,2H,94.0,AIR,2H,191.0,AIR,,,,,,,ADHESIVE
BONDMASTER E-645 A/B AS 10/3 BW THERMOSET EPOXY,Adhesive,1.28,0,0.03,1.28,1998,Rationale Code A (up to 2 sq-in),GSFC25459,NSC,1.5H,193.0,AIR,,,,,,,,,,ADHESIVE
BONDMASTER E645,Adhesive,1.28,0,0.14,1.28,2010,Rationale Code B (up to 0.25 sq-in),GSFC31837,BEA,2H,179.0,AIR,4H,160.0,VAC,9D,110.0,E-5,,,,ADHESIVE
BONDMASTER E645 A/B AS 10/3 BW ADH,Adhesive,0.68,0,0.04,0.68,1976,Pass,GSFC07529,NSC,1H,204.0,AIR,,,,,,,,,,ADHESIVE
BONDMASTER E645 A/B AS 10/3 BW EPOXY,Adhesive,0.50,,0.01,0.50,1972,Pass,GSFC04554,NSC,1H,100.0,AIR,4H,180.0,E-2,,,,,,,ADHESIVE
BONDMASTER E645 A/B AS 10/3 BW EPOXY W/MEK THINNER,Adhesive,0.90,,0.15,0.90,1973,Rationale Code B (up to 0.25 sq-in),GSFC04672,NSC,1H,177.0,PSI,,,,,,,,,,ADHESIVE
BONDMASTER E645 A/B AS 10/3 BW THERMOSET EPOXY,Adhesive,1.52,,0.63,1.52,1972,Rationale Code B (up to 0.25 sq-in),GSFC03441,NSC,3H,25.0,AIR,1H,70.0,AIR,1H,90.0,AIR,18H,130.0,AIR,ADHESIVE
BONDMASTER M688/CH-16 AS 100/32 BW EPOXY,Adhesive,4.02,,0.21,4.02,1968,Rationale Code B (up to 0.25 sq-in),GSFC00155,NSC,24H,49.0,AIR,,,,,,,,,,ADHESIVE
BONDMASTER M688/CH-16 AS 100/32 BW EPOXY,Adhesive,2.62,,0.03,2.62,1972,Rationale Code A (up to 2 sq-in),GSFC04412,NSC,16H,25.0,AIR,8H,65.0,AIR,8H,121.0,AIR,,,,ADHESIVE
BONDMASTER M688/CH-16 EPOXY,Adhesive,2.76,,0.03,2.76,1968,Rationale Code A (up to 2 sq-in),GSFC00200,NSC,24H,49.0,AIR,24H,60.0,AIR,,,,,,,ADHESIVE
BONDMASTER M688/CH-16 EPOXY,Adhesive,1.40,,0.05,1.40,1968,Rationale Code A (up to 2 sq-in),GSFC00220,NSC,16H,49.0,AIR,24H,60.0,E-4,,,,,,,ADHESIVE
BONDMASTER M688/CH-8 AS 100/13 BW EPOXY,Adhesive,2.90,,0.08,2.90,1969,Rationale Code A (up to 2 sq-in),GSFC01390,NSC,24H,25.0,AIR,,,,,,,,,,ADHESIVE
BONDMASTER M688/CH-8 AS 100/13 BW EPOXY,Adhesive,3.90,,0.11,3.90,1972,Rationale Code B (up to 0.25 sq-in),GSFC03963,NSC,1H,25.0,AIR,2H,60.0,AIR,,,,,,,ADHESIVE
BONDMASTER M773 A/B AS 1/1 BW EPOXY,Adhesive,2.50,,0.09,2.50,1972,Rationale Code A (up to 2 sq-in),GSFC03959,NSC,1H,25.0,AIR,2H,60.0,AIR,,,,,,,ADHESIVE
BONDMASTER M773 A/B AS 1/1 BW EPOXY,Adhesive,3.63,,0.11,3.63,1973,Rationale Code B (up to 0.25 sq-in),GSFC05180,NSC,8H,65.0,AIR,,,,,,,,,,ADHESIVE
BONDMASTER M773 A/B AS 1/1 BW EPOXY,Adhesive,2.37,,0.10,2.37,1973,Rationale Code A (up to 2 sq-in),GSFC05208,NSC,8H,65.0,AIR,24H,70.0,E-2,,,,,,,ADHESIVE
BONDMASTER M777 A/B AS 1/1 BW EPOXY,Adhesive,1.82,,0.09,1.82,1972,Rationale Code A (up to 2 sq-in),GSFC03961,NSC,1H,25.0,AIR,2H,60.0,AIR,,,,,,,ADHESIVE
BONDMASTER M777 A/B AS 1/1 BW EPOXY,Adhesive,2.41,,0.13,2.41,1973,Rationale Code B (up to 0.25 sq-in),GSFC05182,NSC,8H,65.0,AIR,,,,,,,,,,ADHESIVE
BOOT - CABLE - BLACK,Boot,4.36,0,1.14,4.36,1974,Rationale Code B (up to 0.25 sq-in),GSFC06065,ZZZ,,,,,,,,,,,,,BOOT
BORON NITRIDE - HEAT SINK WASHER,Washer,0.12,0,0.00,0.12,1975,Pass,GSFC06788,UCC,,,,,,,,,,,,,WASHER
BOSTIC 6390-4 HOT MELT GLUE,Adhesive,2.55,0,1.10,2.55,1998,Rationale Code B (up to 0.25 sq-in),GSFC25864,FPC,,,,,,,,,,,,,ADHESIVE
BOSTIK 11-610-5 TISSUE SUPPORT 2 SIDE ACR FILM/F,"Tape, Double-Sided",2.11,1,0.02,1.11,1989,Rationale Code A (up to 2 sq-in),GSFC18260,FPC,,,,,,,,,,,,,2 SIDE TAPE
BOSTIK 7008 ELECTRONIC ADHESIVE ONE COMPONENT,Adhesive,1.75,0,0.21,1.75,1982,Rationale Code B (up to 0.25 sq-in),GSFC12703,FPC,1H,65.0,AIR,5H,135.0,AIR,,,,,,,ADHESIVE
BOSTIK FINCH 443-3/X-304 AS 3/1 BV WHITE EPOXY PAINT,Paint,7.05,0,0.15,7.05,1977,Rationale Code B (up to 0.25 sq-in),GSFC08396,FPC,7D,25.0,AIR,,,,,,,,,,PAINT
BOSTIK FINCH 643-2-20 7/1 BW WHITE POLYURETHANE,Paint,4.67,0,0.15,4.67,1977,Rationale Code B (up to 0.25 sq-in),GSFC08468,FPC,7D,25.0,AIR,,,,,,,,,,PAINT
BOSTIK-FINCH EPOXY PRIMER FR 463-12-8 A/B AS 3/1 BW,Primer,4.29,0,0.02,4.29,1976,Rationale Code B (up to 0.25 sq-in),GSFC08036,FPC,2H,25.0,AIR,,,,,,,,,,PRIMER
"BPAAB7315 TEFLON TAPE, NO ADHESIVE, PFOA FREE T60X",Teflon Tape,0.01,0,0.00,0.01,2014,Pass,GSFC35109,TNG,,,,,,,,,,,,,TEFLON TAPE
BR 127 NC ESD,Primer,1.78,1,0.01,0.78,2012,Pass,GSFC33175,CYT,1H,121.0,AIR,,,,,,,,,,PRIMER
BR 34 EPOXY ADHESIVE,Adhesive,0.65,,0.00,0.65,1972,Pass,GSFC03700,ACC,30M,25.0,AIR,30M,104.0,AIR,90M,177.0,AIR,,,,ADHESIVE
BR 34 EPOXY ADHESIVE,Adhesive,0.34,,0.00,0.34,1972,Pass,GSFC03702,ACC,30M,25.0,AIR,30M,104.0,AIR,90M,132.0,AIR,90M,288.0,AIR,ADHESIVE
BR 34B-32 POLYIMIDE FILM ADH,Film Adhesive,0.87,0,0.01,0.87,1987,Pass,GSFC16420,ACC,30M,260.0,PSI,90M,260.0,PSI,,,,,,,FILM ADHESIVE
BR 36-2 POLYIMIDE ADHESIVE BROWN,Adhesive,1.24,1,0.00,0.24,1989,Pass,GSFC17952,ACC,1H,177.0,AIR,1H,288.0,AIR,,,,,,,ADHESIVE
BR 617 A/B AS 4/1 BW EPOXY,Potting,31.02,,0.91,31.02,1964,Rationale Code B (up to 0.25 sq-in),SRI11601,ACC,48H,25.0,AIR,,,,,,,,,,POTTING
BR 617 A/B AS 4/1 BW EPOXY,Potting,30.82,,0.89,30.82,1964,Rationale Code B (up to 0.25 sq-in),SRI11602,ACC,48H,25.0,AIR,16H,52.0,AIR,,,,,,,POTTING
BR 90/BR 802 AS 100/8 BW EPOXY ADHESIVE,Adhesive,6.80,0,0.04,6.80,1982,Rationale Code B (up to 0.25 sq-in),GSFC12358,ACC,7D,25.0,AIR,24H,50.0,AIR,,,,,,,ADHESIVE
BR 90/BR 802 AS 100/8 BW EPOXY ADHESIVE/F,Adhesive,1.77,0,0.03,1.77,1982,Rationale Code A (up to 2 sq-in),GSFC12361,ACC,7D,25.0,AIR,24H,50.0,AIR,,,,,,,ADHESIVE
BR 95 A/B AS 3/1 BW GRAY EPOXY ADHESIVE,Adhesive,1.26,0,0.01,1.26,1989,Rationale Code A (up to 2 sq-in),GSFC18312,ACC,5D,25.0,AIR,,,,,,,,,,ADHESIVE
BR-0014 PHENOLIC RESIN/F,Adhesive,3.04,2,0.01,1.04,1982,Rationale Code A (up to 2 sq-in),GSFC12727,PLM,2H,120.0,AIR,,,,,,,,,,ADHESIVE
BR-125 PRIMER MOD NITRILE EPOXY/F,Adhesive,1.19,0,0.13,1.19,1982,Rationale Code B (up to 0.25 sq-in),GSFC12268,ACC,30M,25.0,AIR,1.5H,110.0,AIR,,,,,,,ADHESIVE
BR-127 PRIMER/F,Primer,0.48,0,0.03,0.48,1979,Pass,GSFC10164,ACC,90M,127.0,AIR,,,,,,,,,,PRIMER
BR-127 PRIMER/F,Primer,0.95,0,0.02,0.95,1987,Pass,GSFC16100,ACC,30M,25.0,AIR,30M,121.0,AIR,,,,,,,PRIMER
BR-127 PRIMER/F,Primer,0.99,0,0.02,0.99,1998,Pass,GSFC25969,ACC,30M,25.0,AIR,30M,121.0,AIR,,,,,,,PRIMER
BR-127NC PRIMER/F,Primer,1.38,0,0.13,1.38,1992,Rationale Code B (up to 0.25 sq-in),GSFC20405,ACC,1H,25.0,AIR,1H,121.0,AIR,,,,,,,PRIMER
BR-610 EPOXY/TETRAHYDROFURANE/F,Adhesive,1.14,1,0.01,0.14,1976,Pass,GSFC07988,WTB,30M,60.0,AIR,,,,,,,,,,ADHESIVE
BR-610 EPOXY/TETRAHYDROFURANE/F,Adhesive,0.99,0,0.02,0.99,1976,Pass,GSFC07991,WTB,30M,60.0,AIR,30M,150.0,AIR,,,,,,,ADHESIVE
BR-626 ONE COMPONENT HEAT CURING EPOXY,Potting,0.72,0,0.01,0.72,1983,Pass,GSFC13457,ACC,1H,121.0,AIR,,,,,,,,,,POTTING
BRADY ACENLO500006449H LOW OG CABLE MARKER,Cable Marker,1.87,1,0.04,0.87,2016,Pass,GSFC35793,WHB,,,,,,,,,,,,,CABLE MARKER
